Region,Sub Region,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Asia,South-eastern Asia,Malaysia,,,,,,,,,,,,303,305,676,419
Asia,South-eastern Asia,Myanmar,,,,,271,303,302,381,256,261,256,309,643,307,355
Asia,South-eastern Asia,Philippines,220,214,184,359,144,218,113,207,537,763,795,"1,124",761,603,203
Asia,South-eastern Asia,Singapore,,,,,,3,7,135,,,,,22,17,
Asia,South-eastern Asia,Thailand,,,,,,,145,122,279,583,680,595,982,850,295
Asia,South-eastern Asia,Timor-Leste,,,,,,,,,,,,,20,18,2
Asia,South-eastern Asia,Viet Nam,,,,,938,981,869,671,821,"1,206",871,903,,,
Asia,Southern Asia,Bangladesh,,,,,114,,,310,,126,,,,,733
Asia,Southern Asia,Maldives,,,,,,,,,,,,,,12,
Asia,Southern Asia,Nepal,,,,,147,145,197,193,141,271,237,266,,350,
Asia,Southern Asia,Sri Lanka,,,,,,,,,56,,,29,30,23,
Asia,Western Asia,Armenia,,,,47,36,34,60,19,13,14,21,8,5,25,9
Asia,Western Asia,Azerbaijan,,,,86,101,78,91,34,29,53,56,54,48,70,
Asia,Western Asia,Bahrain,,,,,,1,,43,5,20,143,96,27,38,33
Asia,Western Asia,Cyprus,,,,,54,58,113,52,40,,,42,33,30,9
Asia,Western Asia,Georgia,,,14,21,,,,18,6,8,35,9,8,1,3
Asia,Western Asia,Israel,,,105,84,75,18,67,78,26,86,82,79,47,47,
Asia,Western Asia,Jordan,,,,,,,,81,49,24,81,19,26,35,14
Asia,Western Asia,Kuwait,,,,,,,,,,,,,7,6,5
Asia,Western Asia,Lebanon,,,,,,,,8,27,19,26,33,19,87,57
Asia,Western Asia,Oman,,,,,,,34,,,,4,1,27,38,33
Asia,Western Asia,Qatar,140,17,48,8,28,45,24,26,214,,,,,,
Asia,Western Asia,Turkey,103,239,256,246,148,120,102,58,82,55,21,50,108,,
Asia,Western Asia,United Arab Emirates,6,39,27,1,6,43,33,152,51,75,24,20,17,34,
Europe,Eastern Europe,Belarus,350,400,625,"1,107",418,591,398,362,295,209,149,97,121,184,75
Europe,Eastern Europe,Bulgaria,,170,211,340,288,250,297,429,540,579,538,495,409,447,368
Europe,Eastern Europe,Czechia,5,11,17,14,33,119,42,76,51,52,57,67,50,38,14
Europe,Eastern Europe,Hungary,18,23,28,5,28,10,9,59,134,57,,294,507,489,386
Europe,Eastern Europe,Poland,261,98,99,126,859,62,19,,,230,135,201,173,199,94
Europe,Eastern Europe,Republic of Moldova,188,279,292,,298,271,182,181,154,290,262,264,139,232,
Europe,Eastern Europe,Romania,,,"2,251","2,285","1,780","1,240",780,"1,154","1,048",976,896,831,649,474,334
Europe,Eastern Europe,Russian Federation,,,,,,57,82,71,,,,75,61,31,46
Europe,Eastern Europe,Slovakia,43,33,18,31,10,17,25,28,31,23,30,34,25,45,88
Europe,Eastern Europe,Ukraine,198,392,485,345,366,342,773,407,389,,,27,83,110,198
Europe,Northern Europe,Denmark,,,,,17,28,47,53,60,66,76,71,93,121,61
Europe,Northern Europe,Estonia,,,,,,55,78,57,61,23,24,2,13,10,10
Europe,Northern Europe,Finland,,,,,5,16,17,48,56,53,56,50,52,130,56
Europe,Northern Europe,Ireland,,,,,,,66,78,57,48,44,46,78,95,
Europe,Northern Europe,Latvia,,13,21,13,,8,12,9,11,25,22,34,10,17,20
Europe,Northern Europe,Lithuania,,10,13,27,11,25,14,15,22,14,,47,62,45,
Europe,Northern Europe,Norway,,,,,203,256,292,127,134,136,124,324,301,262,
Europe,Northern Europe,Sweden,,,,,,21,44,14,10,33,2,4,2,2,
Europe,Northern Europe,United Kingdom,,,,,,,549,297,482,555,816,543,596,601,
Europe,Southern Europe,Albania,,,,,,108,94,97,84,92,95,,,,
Europe,Southern Europe,Bosnia and Herzegovina,,,66,71,41,33,69,25,35,39,,49,35,48,
Europe,Southern Europe,Croatia,,19,6,13,15,7,8,7,14,11,,37,38,30,29
Europe,Southern Europe,Greece,93,181,137,83,99,76,121,92,97,109,102,78,57,62,26
Europe,Southern Europe,Italy,34,120,209,178,715,628,381,96,91,435,593,597,609,663,
Europe,Southern Europe,Malta,,5,5,1,7,1,,,3,1,,20,3,31,
Europe,Southern Europe,Montenegro,,17,9,1,4,3,,1,1,9,1,2,3,2,2
Europe,Southern Europe,Portugal,,,,,,42,17,18,33,13,144,33,,132,
Europe,Southern Europe,Serbia,,38,54,62,96,48,85,76,74,79,76,52,32,31,
Europe,Southern Europe,Slovenia,28,25,8,44,9,68,28,33,18,15,37,5,47,27,25
Europe,Southern Europe,Spain,"2,549","2,768","2,174","2,464","2,521","3,201",443,,,495,244,153,267,193,
Europe,Southern Europe,The former Yugoslav Republic of Macedonia,132,11,3,4,6,,,12,11,8,15,8,4,6,2
Europe,Western Europe,Austria,,,,,12,4,22,14,,28,23,79,126,72,
Europe,Western Europe,Belgium,,,130,139,74,65,50,,,127,116,84,90,84,
Europe,Western Europe,France,,,,,,,,,,,,,"1,432","1,516",
Europe,Western Europe,Germany,"1,235",972,641,775,689,692,733,651,672,626,603,583,470,536,
Europe,Western Europe,Luxembourg,,,,,,,,,,,,12,7,20,16
Europe,Western Europe,Monaco,,,,,4,10,7,,,,,,,,
Europe,Western Europe,Netherlands,257,403,424,580,716,826,909,993,"1,222","1,711","1,434","1,256","1,150",952,952
Europe,Western Europe,Switzerland,64,84,126,90,128,,33,46,36,60,42,35,47,90,
Oceania,Australia and New Zealand,Australia,10,9,20,16,18,25,33,31,11,16,21,33,35,36,21
Oceania,Australia and New Zealand,New Zealand,,,,,,,,,,,,,18,19,2
Oceania,Melanesia,Fiji,,,,,,,,,,5,,3,,,
Oceania,Micronesia,Palau,,,,16,,,,,,,,,,,
